,Product,Category,Brand,Color,Base_Price,Total_availability,Total_Volume
87,اتوبخار پاناسونیک مدل NI-JW950-مشکی,اتو,ناشناخته,مشکی,30000000.0,0,0
88,اجاق سفری مدل LANSHAN کد LSO-619-مشکی,تجهیزات سفر,متفرقه,مشکی,990000.0,0,0
89,اجاق گاز 4 شعله اسنوا مدل SGC4-7121-بنفش,اجاق گاز,اسنوا,بنفش,21675000.0,0,0
90,اجاق گاز 5 شعله اسنوا مدل SGC5-31112-سفید,اجاق گاز,اسنوا,سفید,14451000.0,0,0
91,اجاق گاز 5 شعله اسنوا مدل SGC5-31121-بنفش,اجاق گاز,اسنوا,بنفش,16955000.0,0,0
92,اجاق گاز 5 شعله اسنوا مدل SGC5-31122-سفید,اجاق گاز,اسنوا,سفید,16281000.0,0,0
93,اجاق گاز 5 شعله اسنوا مدل SGC5-6111N-بنفش,اجاق گاز,اسنوا,بنفش,18784000.0,0,0
94,اجاق گاز 5 شعله اسنوا مدل SGC5-7111-بنفش,اجاق گاز,اسنوا,بنفش,24419000.0,0,0
95,اجاق گاز 5 شعله اسنوا مدل SGC5-7113-مشکی,اجاق گاز,اسنوا,مشکی,23631000.0,0,0
96,اجاق گاز 5 شعله اسنوا مدل SGH5-8201S-بنفش,اجاق گاز,اسنوا,بنفش,10162000.0,0,0
97,اجاق گاز 5 شعله دوو مدل DGC5-2102N-سفید,اجاق گاز,دوو,سفید,22734000.0,0,0
98,اجاق گاز 5 شعله دوو مدل DGC5-2111N New Imperial-بنفش,اجاق گاز,دوو,بنفش,25431000.0,0,0
99,اجاق گاز 5 شعله دوو مدل DGC5-2112N-سفید,اجاق گاز,دوو,سفید,25046000.0,0,0
100,اجاق گاز اسنوا مدل SGH5-1101S-بنفش,اجاق گاز,اسنوا,بنفش,6405000.0,0,0
101,اجاق گاز اسنوا مدل SGH5-1401S-بنفش,اجاق گاز,اسنوا,بنفش,6397000.0,0,0
102,اجاق گاز اسنوا مدل SGH5-2103G-مشکی,اجاق گاز,اسنوا,مشکی,8715000.0,0,0
103,اجاق گاز اسنوا مدل SGH5-6801S-بنفش,اجاق گاز,اسنوا,بنفش,7382000.0,0,0
104,اچ پی مدل Spectre x360 14 EF2013DX-A i7 1355U ظرفیت 2 ترابایت و رم 16 گیگابایت 13.5 اینچ-مشکی,لپ تاپ,اچ پی,مشکی,171142740.0,0,0
105,اس اس دی اکسترنال ای دیتا مدل Elite SE880 ظرفیت 1 ترابایت-مشکی,هارد‌ اکسترنال,ای دیتا,مشکی,4670000.0,0,0
106,اس اس دی اکسترنال ای دیتا مدل SC680 ظرفیت 480 گیگابایت-مشکی,هارد‌ اکسترنال,ای دیتا,مشکی,2990000.0,0,2
107,اس اس دی اکسترنال ای دیتا مدل SD600Q ظرفیت 240 گیگابایت-مشکی,هارد‌ اکسترنال,ای دیتا,مشکی,1720000.0,0,4
108,اس اس دی اکسترنال ای دیتا مدل SD600Q ظرفیت 480 گیگابایت-مشکی,هارد‌ اکسترنال,ای دیتا,مشکی,2150000.0,0,3
